team_name,fifa_code,group_letter,simulations,group_rank_1_probability,group_rank_2_probability,group_rank_3_probability,group_rank_4_probability,qualification_probability,r32_probability,r16_probability,qf_probability,sf_probability,final_probability,champion_probability,model_version,model_status,parameter_config_path,rating_col,bracket_mode,bracket_source,uses_random_pairing,official_bracket,random_seed_used_for,bracket_mapping_note,qualified_top_2_probability,qualified_best_third_probability,average_points,average_goal_difference,group_rank_1_count,group_rank_2_count,group_rank_3_count,group_rank_4_count,qualified_top_2_count,qualified_best_third_count,qualified_count,r32_count,r16_count,qf_count,sf_count,final_count,champion_count
Paraguay,PAR,D,100,0.18,0.21,0.32,0.29,0.64,0.64,0.16,0.04,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.39,0.25,3.67,-1.03,18,21,32,29,39,25,64,64,16,4,0,0,0
Australia,AUS,D,100,0.28,0.14,0.27,0.31,0.63,0.63,0.3,0.08,0.02,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.42,0.21,3.94,-0.22,28,14,27,31,42,21,63,63,30,8,2,0,0
Scotland,SCO,C,100,0.04,0.14,0.59,0.23,0.53,0.53,0.1,0.04,0.01,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.18,0.35,2.91,-2.22,4,14,59,23,18,35,53,53,10,4,1,0,0
Sweden,SWE,F,100,0.09,0.17,0.42,0.32,0.5,0.5,0.18,0.04,0.01,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.26,0.24,3.08,-1.7,9,17,42,32,26,24,50,50,18,4,1,0,0
Bosnia and Herzegovina,BIH,B,100,0.09,0.17,0.31,0.43,0.47,0.47,0.12,0.02,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.26,0.21,2.9,-2.01,9,17,31,43,26,21,47,47,12,2,0,0,0
Qatar,QAT,B,100,0.05,0.3,0.23,0.42,0.47,0.47,0.11,0.01,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.35,0.12,2.87,-2.1,5,30,23,42,35,12,47,47,11,1,0,0,0
DR Congo,COD,K,100,0.05,0.09,0.42,0.44,0.36,0.36,0.06,0.01,0.01,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.14,0.22,2.21,-2.84,5,9,42,44,14,22,36,36,6,1,1,0,0
South Africa,RSA,A,100,0.04,0.12,0.24,0.6,0.33,0.33,0.13,0.01,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.16,0.17,2.1,-3.17,4,12,24,60,16,17,33,33,13,1,0,0,0
Saudi Arabia,KSA,H,100,0.0,0.09,0.5,0.41,0.3,0.3,0.03,0.0,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.09,0.21,2.23,-3.61,0,9,50,41,9,21,30,30,3,0,0,0,0
Tunisia,TUN,F,100,0.06,0.13,0.25,0.56,0.29,0.29,0.06,0.01,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.19,0.1,2.28,-3.2,6,13,25,56,19,10,29,29,6,1,0,0,0
Uzbekistan,UZB,K,100,0.02,0.05,0.4,0.53,0.26,0.26,0.04,0.0,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.07,0.19,2.09,-3.54,2,5,40,53,7,19,26,26,4,0,0,0,0
Cabo Verde,CPV,H,100,0.01,0.05,0.36,0.58,0.25,0.25,0.03,0.0,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.06,0.19,1.64,-4.78,1,5,36,58,6,19,25,25,3,0,0,0,0
Iraq,IRQ,I,100,0.02,0.13,0.19,0.66,0.25,0.25,0.04,0.01,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.15,0.1,1.8,-4.11,2,13,19,66,15,10,25,25,4,1,0,0,0
Jordan,JOR,J,100,0.0,0.06,0.25,0.69,0.17,0.17,0.03,0.0,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.06,0.11,1.41,-4.66,0,6,25,69,6,11,17,17,3,0,0,0,0
Ghana,GHA,L,100,0.0,0.03,0.28,0.69,0.15,0.15,0.0,0.0,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.03,0.12,1.2,-5.85,0,3,28,69,3,12,15,15,0,0,0,0,0
Haiti,HAI,C,100,0.0,0.04,0.22,0.74,0.15,0.15,0.0,0.0,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.04,0.11,1.22,-5.62,0,4,22,74,4,11,15,15,0,0,0,0,0
Curacao,CUR,E,100,0.0,0.07,0.13,0.8,0.14,0.14,0.01,0.0,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.07,0.07,1.19,-5.65,0,7,13,80,7,7,14,14,1,0,0,0,0
New Zealand,NZL,G,100,0.01,0.03,0.12,0.84,0.09,0.09,0.0,0.0,0.0,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.04,0.05,0.98,-5.77,1,3,12,84,4,5,9,9,0,0,0,0,0
