base_total_goals,share_scale,mismatch_total_bonus,mismatch_scale,draw_boost_max,draw_boost_scale,status,error,n_matches,accuracy,mean_brier_score,mean_log_loss,mean_actual_outcome_probability,predicted_draw_rate,actual_draw_rate,draw_calibration_error,goal_mae,goal_rmse
2.65,220,0.7,650,0.035,220,ok,,866,0.6004618937644342,0.5299351834026189,0.8985180691124272,0.47086266933271714,0.2221876048417033,0.22632794457274827,0.0041403397310449674,0.9513838434059909,1.2554956501884784
2.65,220,0.9,650,0.045,150,ok,,866,0.6004618937644342,0.5299539688889088,0.8985180969803932,0.4714191832964718,0.22229562766367927,0.22632794457274827,0.004032316909068995,0.951383798294315,1.25412365511037
2.55,220,0.9,650,0.045,100,ok,,866,0.6004618937644342,0.5298832080421805,0.8985197776873691,0.47032904584113194,0.2231129524157176,0.22632794457274827,0.003214992157030666,0.941423565913288,1.2511784027912847
2.65,220,0.7,800,0.035,220,ok,,866,0.6004618937644342,0.5298810314156565,0.8985216636904377,0.46921869431457924,0.224930022128825,0.22632794457274827,0.0013979224439232552,0.9474633818661892,1.2545252641539633
2.65,220,0.7,800,0.035,300,ok,,866,0.6004618937644342,0.5298873715372584,0.8985238666774924,0.46816428689749595,0.22796411295520663,0.22632794457274827,0.001636168382458364,0.9474633818661892,1.2545252641539633
2.75,220,0.7,650,0.035,300,ok,,866,0.6004618937644342,0.5300052076758962,0.898524095427608,0.4721671974711484,0.2198168623378374,0.22632794457274827,0.00651108223491087,0.962699315438665,1.2606963733423613
2.45,220,0.9,500,0.015,300,ok,,866,0.6004618937644342,0.5299211640789543,0.8985249386824329,0.47038708759513476,0.220281917110606,0.22632794457274827,0.006046027462142278,0.9376889806673158,1.2500031302840564
2.45,220,0.9,500,0.035,150,ok,,866,0.6004618937644342,0.5299315301156711,0.8985262628875686,0.46986682194273416,0.22539694808678296,0.22632794457274827,0.000930996485965313,0.9376889806673158,1.2500031302840564
2.75,220,0.7,650,0.045,220,ok,,866,0.6004618937644342,0.5300083531034537,0.8985300844768808,0.47211675740357256,0.22192316591043657,0.22632794457274827,0.0044047786623117036,0.962699315438665,1.2606963733423613
2.55,220,0.9,500,0.045,300,ok,,866,0.6004618937644342,0.5300232082764529,0.8985301282150961,0.4686246692447184,0.23248053219515533,0.22632794457274827,0.0061525876224070575,0.9473206450540421,1.2525788790842172
2.55,220,0.9,650,0.045,150,ok,,866,0.6004618937644342,0.529913697857427,0.8985350081059122,0.46895050058324167,0.2280289393742907,0.22632794457274827,0.001700994801542427,0.941423565913288,1.2511784027912847
2.55,220,0.7,650,0.025,300,ok,,866,0.6004618937644342,0.5298840208520451,0.8985353366682306,0.46874129219503735,0.224952610827685,0.22632794457274827,0.0013753337450632674,0.9414236110249639,1.2526050603711958
2.65,220,0.7,650,0.045,300,ok,,866,0.6004618937644342,0.529960491599408,0.8985360967442294,0.4683970359841613,0.23122897316031762,0.22632794457274827,0.004901028587569356,0.9513838434059909,1.2554956501884784
2.45,220,0.9,500,0.025,150,ok,,866,0.6004618937644342,0.5299236075826862,0.8985361531301361,0.47061708252149975,0.22136096316834697,0.22632794457274827,0.004966981404401299,0.9376889806673158,1.2500031302840564
2.45,220,0.9,650,0.035,100,ok,,866,0.6004618937644342,0.5298387168700837,0.8985404197383401,0.468183021782455,0.22626845297286036,0.22632794457274827,5.949159988791197e-05,0.9330071175093465,1.2505617844221188
2.55,220,0.9,650,0.035,100,ok,,866,0.6004618937644342,0.5298919337556615,0.8985460060641469,0.47077346168735124,0.2201694090436312,0.22632794457274827,0.006158535529117076,0.941423565913288,1.2511784027912847
2.45,220,0.9,650,0.025,100,ok,,866,0.6004618937644342,0.5298349647643743,0.8985487935338632,0.46862593815441506,0.22332490960077392,0.22632794457274827,0.00300303497197435,0.9330071175093465,1.2505617844221188
2.65,220,0.9,800,0.045,150,ok,,866,0.6004618937644342,0.5298976685944846,0.8985503460435909,0.46971260675719423,0.22509086594206254,0.22632794457274827,0.0012370786306857284,0.947448973606558,1.2539702558394816
2.55,220,0.7,650,0.035,220,ok,,866,0.6004618937644342,0.5299023850422904,0.8985545188981726,0.46839040767902557,0.22792579749353603,0.22632794457274827,0.0015978529207877623,0.9414236110249639,1.2526050603711958
2.45,220,0.9,650,0.025,150,ok,,866,0.6004618937644342,0.5298538834504626,0.8985587891533491,0.4678628135632079,0.22605601346664786,0.22632794457274827,0.00027193110610040927,0.9330071175093465,1.2505617844221188
2.45,220,0.9,500,0.035,100,ok,,866,0.6004618937644342,0.5299308649731032,0.8985595970693506,0.47093881090072964,0.22157340267455944,0.22632794457274827,0.00475454189818883,0.9376889806673158,1.2500031302840564
2.55,220,0.9,650,0.025,150,ok,,866,0.6004618937644342,0.529905688654643,0.8985597196375192,0.47045201905696477,0.2199569695374187,0.22632794457274827,0.0063709750353295735,0.941423565913288,1.2511784027912847
2.45,220,0.9,500,0.035,300,ok,,866,0.6004618937644342,0.5299817250612797,0.8985601583108807,0.4675795590974296,0.23229647209507137,0.22632794457274827,0.005968527522323103,0.9376889806673158,1.2500031302840564
2.65,220,0.9,800,0.025,300,ok,,866,0.6004618937644342,0.5299043833196361,0.8985613878426156,0.469581277000894,0.2219471275396822,0.22632794457274827,0.004380817033066059,0.947448973606558,1.2539702558394816
2.65,220,0.7,800,0.045,150,ok,,866,0.6004618937644342,0.5299002934137166,0.8985619614292789,0.46970178031556903,0.22510057386535423,0.22632794457274827,0.0012273707073940376,0.9474633818661892,1.2545252641539633
2.65,220,0.9,800,0.045,220,ok,,866,0.6004618937644342,0.5299217180039145,0.8985652244737556,0.46812461065353306,0.23006070860451402,0.22632794457274827,0.0037327640317657562,0.947448973606558,1.2539702558394816
2.55,220,0.7,650,0.025,220,ok,,866,0.6004618937644342,0.5298953395225354,0.8985662479138296,0.46949361618964525,0.22278540309455527,0.22632794457274827,0.0035425414781929954,0.9414236110249639,1.2526050603711958
2.65,220,0.7,800,0.025,300,ok,,866,0.6004618937644342,0.5299071061115568,0.8985730297227572,0.46957045371165507,0.22195683546297393,0.22632794457274827,0.00437110910977434,0.9474633818661892,1.2545252641539633
2.75,220,0.9,800,0.035,220,ok,,866,0.6004618937644342,0.5299762104596493,0.8985731060257496,0.47166664485390475,0.21936052097398634,0.22632794457274827,0.006967423598761929,0.9580686635797032,1.2579697251305795
2.55,220,0.9,500,0.025,220,ok,,866,0.6004618937644342,0.5300119997244128,0.8985738785375793,0.47219669399081143,0.2182987694775602,0.22632794457274827,0.00802917509518808,0.9473206450540421,1.2525788790842172
2.55,220,0.7,650,0.035,150,ok,,866,0.6004618937644342,0.5298978516367167,0.8985739220270522,0.4696239919384368,0.2240603643116293,0.22632794457274827,0.002267580261118979,0.9414236110249639,1.2526050603711958
