team_name,fifa_code,group_letter,simulations,group_rank_1_probability,group_rank_2_probability,group_rank_3_probability,group_rank_4_probability,qualification_probability,r32_probability,r16_probability,qf_probability,sf_probability,final_probability,champion_probability,bracket_mode,bracket_source,uses_random_pairing,official_bracket,random_seed_used_for,bracket_mapping_note,qualified_top_2_probability,qualified_best_third_probability,average_points,average_goal_difference,group_rank_1_count,group_rank_2_count,group_rank_3_count,group_rank_4_count,qualified_top_2_count,qualified_best_third_count,qualified_count,r32_count,r16_count,qf_count,sf_count,final_count,champion_count
Tunisia,TUN,F,10000,0.0522,0.1488,0.3151,0.4839,0.3919,0.3919,0.0955,0.022,0.0041,0.0005,0.0001,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.201,0.1909,2.5157,-2.6174,522,1488,3151,4839,2010,1909,3919,3919,955,220,41,5,1
Qatar,QAT,B,10000,0.0797,0.1905,0.3291,0.4007,0.482,0.482,0.1256,0.0231,0.0028,0.0003,0.0001,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.2702,0.2118,2.902,-1.9994,797,1905,3291,4007,2702,2118,4820,4820,1256,231,28,3,1
Iraq,IRQ,I,10000,0.0198,0.0965,0.2545,0.6292,0.2485,0.2485,0.0655,0.0124,0.0021,0.0003,0.0001,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.1163,0.1322,1.8357,-4.0962,198,965,2545,6292,1163,1322,2485,2485,655,124,21,3,1
DR Congo,COD,K,10000,0.0516,0.1511,0.3648,0.4325,0.4176,0.4176,0.0946,0.0242,0.0046,0.0006,0.0,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.2027,0.2149,2.6012,-2.5654,516,1511,3648,4325,2027,2149,4176,4176,946,242,46,6,0
Uzbekistan,UZB,K,10000,0.0449,0.1375,0.3502,0.4674,0.3869,0.3869,0.0802,0.0188,0.0028,0.0003,0.0,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.1824,0.2045,2.4838,-2.8048,449,1375,3502,4674,1824,2045,3869,3869,802,188,28,3,0
South Africa,RSA,A,10000,0.0724,0.1603,0.2733,0.494,0.4089,0.4089,0.1116,0.022,0.0022,0.0002,0.0,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.2327,0.1762,2.611,-2.4023,724,1603,2733,4940,2327,1762,4089,4089,1116,220,22,2,0
Cabo Verde,CPV,H,10000,0.0115,0.0902,0.3894,0.5089,0.2674,0.2674,0.0357,0.0056,0.0004,0.0002,0.0,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.1017,0.1657,1.9393,-4.2266,115,902,3894,5089,1017,1657,2674,2674,357,56,4,2,0
Jordan,JOR,J,10000,0.0135,0.0961,0.256,0.6344,0.2349,0.2349,0.0351,0.0069,0.0013,0.0002,0.0,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.1096,0.1253,1.7735,-4.2819,135,961,2560,6344,1096,1253,2349,2349,351,69,13,2,0
Ghana,GHA,L,10000,0.0078,0.0486,0.2147,0.7289,0.1525,0.1525,0.0197,0.0031,0.0004,0.0001,0.0,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.0564,0.0961,1.3572,-5.2336,78,486,2147,7289,564,961,1525,1525,197,31,4,1,0
Saudi Arabia,KSA,H,10000,0.0137,0.1059,0.4373,0.4431,0.3171,0.3171,0.046,0.0094,0.0008,0.0,0.0,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.1196,0.1975,2.1771,-3.8108,137,1059,4373,4431,1196,1975,3171,3171,460,94,8,0,0
Curacao,CUR,E,10000,0.0142,0.0501,0.1805,0.7552,0.1544,0.1544,0.0185,0.0019,0.0001,0.0,0.0,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.0643,0.0901,1.3966,-5.0568,142,501,1805,7552,643,901,1544,1544,185,19,1,0,0
Haiti,HAI,C,10000,0.0077,0.0397,0.2073,0.7453,0.1408,0.1408,0.0154,0.0016,0.0002,0.0,0.0,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.0474,0.0934,1.2701,-5.4786,77,397,2073,7453,474,934,1408,1408,154,16,2,0,0
New Zealand,NZL,G,10000,0.0085,0.0429,0.1541,0.7945,0.1311,0.1311,0.0173,0.0013,0.0001,0.0,0.0,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.0514,0.0797,1.2497,-5.3014,85,429,1541,7945,514,797,1311,1311,173,13,1,0,0
